date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:36:25	95407/95407	---MCZ	200	added ('OK')	text/html	etag:cacheable:b9e152a5e2b858d7bbca0cc0777911e7	https://campe-theme.myshopify.com/search?q=dinterdum*&type=product	C:/My%20Web%20Sites/campain/campe-theme.myshopify.com/search573e.html	(from https://campe-theme.myshopify.com/)
21:36:26	166073/166073	---MCZ	200	added ('OK')	text/html	etag:cacheable:2c757bfff9731c3ab4d69643ac11a846	https://campe-theme.myshopify.com/collections/all	C:/My%20Web%20Sites/campain/campe-theme.myshopify.com/collections/all.html	(from https://campe-theme.myshopify.com/)
21:36:27	137937/137937	---MCZ	200	added ('OK')	text/html	etag:cacheable:14963e88a4b4ecba3fa1b453b072e91c	https://campe-theme.myshopify.com/collections/camping	C:/My%20Web%20Sites/campain/campe-theme.myshopify.com/collections/camping.html	(from https://campe-theme.myshopify.com/)
21:36:28	161962/161962	---MCZ	200	added ('OK')	text/html	etag:cacheable:1a171ff9ae32fdf5c3dfd886c5555f4b	https://campe-theme.myshopify.com/products/adventure-binocular	C:/My%20Web%20Sites/campain/campe-theme.myshopify.com/products/adventure-binocular.html	(from https://campe-theme.myshopify.com/)
21:36:29	161861/161861	---MCZ	200	added ('OK')	text/html	etag:cacheable:5c24eefeeb76e63935f1ba127fa6b15b	https://campe-theme.myshopify.com/products/army-knife	C:/My%20Web%20Sites/campain/campe-theme.myshopify.com/products/army-knife.html	(from https://campe-theme.myshopify.com/)
21:36:30	161816/161816	---MCZ	200	added ('OK')	text/html	etag:cacheable:7ee1557225de1107e7a0e1d0c954acdb	https://campe-theme.myshopify.com/products/belay-device-1	C:/My%20Web%20Sites/campain/campe-theme.myshopify.com/products/belay-device-1.html	(from https://campe-theme.myshopify.com/)
21:36:31	161942/161942	---MCZ	200	added ('OK')	text/html	etag:cacheable:de04ca91169237bf245ed7aade4686d6	https://campe-theme.myshopify.com/products/climbing-belt	C:/My%20Web%20Sites/campain/campe-theme.myshopify.com/products/climbing-belt.html	(from https://campe-theme.myshopify.com/)
21:36:32	162458/162458	---MCZ	200	added ('OK')	text/html	etag:cacheable:435cec25fd7fa04ac7678d9662c96fa4	https://campe-theme.myshopify.com/products/climbing-stick	C:/My%20Web%20Sites/campain/campe-theme.myshopify.com/products/climbing-stick.html	(from https://campe-theme.myshopify.com/)
21:36:33	137833/137833	---MCZ	200	added ('OK')	text/html	etag:cacheable:71d6e2d6375c6a0998122b63a1bb088c	https://campe-theme.myshopify.com/collections/climbing	C:/My%20Web%20Sites/campain/campe-theme.myshopify.com/collections/climbing.html	(from https://campe-theme.myshopify.com/)
21:36:34	162546/162546	---MCZ	200	added ('OK')	text/html	etag:cacheable:a7a3fb6423a9644ba8994f910d816e25	https://campe-theme.myshopify.com/products/coffee-vessel	C:/My%20Web%20Sites/campain/campe-theme.myshopify.com/products/coffee-vessel.html	(from https://campe-theme.myshopify.com/)
